,action,start_time,end_time
0,twist Waist ,0.0,0.53
1,Left Turn,0.53,1.23
2,Shoulder Rhythm,1.23,2.02
3,Sidestep Left,2.02,2.8200000000000003
4,twist Waist ,2.8200000000000003,3.3500000000000005
5,Left Turn,3.3500000000000005,4.050000000000001
6,Shoulder Rhythm,4.050000000000001,4.840000000000001
7,Sidestep Left,4.840000000000001,5.640000000000001
8,left Right Out,5.640000000000001,8.59
9,Shock Hands,8.59,9.59
10,HandUpAndDown,9.59,12.59
11,twist Waist ,12.59,13.12
12,Left Right Wave,13.12,14.959999999999999
13,Raise Hand And Drop Down,14.959999999999999,17.66
14,Shake Hands,17.66,18.46
15,Left Protest,18.46,19.16
16,HandUpAndDown,19.16,22.16
17,Hand Appearance,22.16,23.13
18,Heavy Pendulum,23.13,25.13
19,Shock Hands,25.13,26.13
20,Side Movement,26.13,26.88
21,Right Hand Up,26.88,28.08
22,upward punches,28.08,29.68
23,Rotating Right Hand,29.68,31.46
24,Scratching Head,31.46,33.26
25,Elbow Turn,33.26,35.39
26,Drum Roll,35.39,37.22
27,Right Swing,37.22,38.82
28,left Right Out,38.82,41.77
29,Shoulder Rhythm,41.77,42.56
30,Elbow Turn,42.56,44.690000000000005
31,Hand Fly,44.690000000000005,46.440000000000005
32,Spread Wings,46.440000000000005,47.85
33,Lift The Chest,47.85,49.65
34,Merge Hand,49.65,50.35
35,Side Movement,50.35,51.1
36,Right Hand Up,51.1,52.300000000000004
37,upward punches,52.300000000000004,53.900000000000006
38,Left Right Wave,53.900000000000006,55.74000000000001
39,Raise Hand And Drop Down,55.74000000000001,58.44000000000001
40,Shake Hands,58.44000000000001,59.24000000000001
41,Left Protest,59.24000000000001,59.94000000000001
42,Hand Fly,59.94000000000001,61.69000000000001
43,Spread Wings,61.69000000000001,63.10000000000001
44,Lift The Chest,63.10000000000001,64.9
45,Merge Hand,64.9,65.60000000000001
46,Elbow Turn,65.60000000000001,67.73
47,Drum Roll,67.73,69.56
48,Right Swing,69.56,71.16
49,Left Right Wave,71.16,73.0
50,Left Right Wave,73.0,74.84
51,Raise Hand And Drop Down,74.84,77.54
52,Shake Hands,77.54,78.34
53,Left Protest,78.34,79.04
54,HandUpAndDown,79.04,82.04
55,Hand Appearance,82.04,83.01
56,Heavy Pendulum,83.01,85.01
57,Shock Hands,85.01,86.01
58,Side Movement,86.01,86.76
59,Right Hand Up,86.76,87.96000000000001
60,upward punches,87.96000000000001,89.56
61,Rotating Right Hand,89.56,91.34
62,Scratching Head,91.34,93.14
63,Elbow Turn,93.14,95.27
64,Drum Roll,95.27,97.1
65,Right Swing,97.1,98.69999999999999
66,left Right Out,98.69999999999999,101.64999999999999
67,Shoulder Rhythm,101.64999999999999,102.44
68,Elbow Turn,102.44,104.57
69,Hand Fly,104.57,106.32
70,Spread Wings,106.32,107.72999999999999
71,Lift The Chest,107.72999999999999,109.52999999999999
72,Merge Hand,109.52999999999999,110.22999999999999
73,Side Movement,110.22999999999999,110.97999999999999
74,Right Hand Up,110.97999999999999,112.17999999999999
75,upward punches,112.17999999999999,113.77999999999999
76,Left Right Wave,113.77999999999999,115.61999999999999
77,Raise Hand And Drop Down,115.61999999999999,118.32
78,Shake Hands,118.32,119.11999999999999
79,Left Protest,119.11999999999999,119.82
80,Hand Fly,119.82,121.57
81,Spread Wings,121.57,122.97999999999999
82,Lift The Chest,122.97999999999999,124.77999999999999
83,Merge Hand,124.77999999999999,125.47999999999999
84,Elbow Turn,125.47999999999999,127.60999999999999
