,action,start_time,end_time
0,Drum Roll,0.0,1.83
1,Drum Roll,1.83,3.66
2,Drum Roll,3.66,5.49
3,Elbow Turn,5.49,7.62
4,Elbow Turn,7.62,9.75
5,Hand Appearance,9.75,10.72
6,Lift The Chest,10.72,12.520000000000001
7,Raise Hand And Drop Down,12.520000000000001,15.220000000000002
8,Shoulder Rhythm,15.220000000000002,16.01
9,Rotating Right Hand,16.01,17.790000000000003
10,Scratching Head,17.790000000000003,19.590000000000003
11,Scratching Head,19.590000000000003,21.390000000000004
12,Elbow Turn,21.390000000000004,23.520000000000003
13,Hand Fly,23.520000000000003,25.270000000000003
14,HandUpAndDown,25.270000000000003,28.270000000000003
15,Raise Hand And Drop Down,28.270000000000003,30.970000000000002
16,HandUpAndDown,30.970000000000002,33.97
17,Raise Hand And Drop Down,33.97,36.67
18,Right Swing,36.67,38.27
19,twist Waist ,38.27,38.800000000000004
20,Raise Hand And Drop Down,38.800000000000004,41.50000000000001
21,Shoulder Rhythm,41.50000000000001,42.290000000000006
22,Rotating Right Hand,42.290000000000006,44.07000000000001
23,Scratching Head,44.07000000000001,45.870000000000005
24,Scratching Head,45.870000000000005,47.67
25,Elbow Turn,47.67,49.800000000000004
26,Hand Fly,49.800000000000004,51.550000000000004
27,HandUpAndDown,51.550000000000004,54.550000000000004
28,Spread Wings,54.550000000000004,55.96
29,Left Right Wave,55.96,57.800000000000004
30,Left Right Wave,57.800000000000004,59.64000000000001
31,Left Right Wave,59.64000000000001,61.48000000000001
32,Spread Wings,61.48000000000001,62.89000000000001
33,Spread Wings,62.89000000000001,64.30000000000001
34,Spread Wings,64.30000000000001,65.71000000000001
35,Left Right Wave,65.71000000000001,67.55000000000001
36,Left Right Wave,67.55000000000001,69.39000000000001
37,Left Right Wave,69.39000000000001,71.23000000000002
38,Hand Appearance,71.23000000000002,72.20000000000002
39,Left Right Wave,72.20000000000002,74.04000000000002
40,Spread Wings,74.04000000000002,75.45000000000002
