,action,type_0,type_1,type_2,type_3,type_4,probability
0,HandsWaveDown,2,2,9,4,0,1.0
1,leftrightrhythm,2,0,6,2,0,1.0
2,FinesseSwing,0,0,3,1,0,1.0
3,RunningMan,0,0,8,1,0,1.0
4,HandsWaveUp,1,4,7,3,0,1.0
5,AkimboDown,1,1,2,1,0,1.0
6,splitleap,0,0,1,3,0,1.0
7,BeatUpAndDown,0,2,8,2,0,1.0
8,abandon,0,0,7,1,0,1.0
9,ParallelHandsAkimboErect,0,0,3,1,0,1.0
10,OpenHeartLeft,0,0,1,3,0,1.0
11,FastAdvance,1,1,3,0,0,1.0
12,LeftSideKick,0,0,1,1,0,1.0
13,CrossFingers,0,2,3,0,0,1.0
14,MotionHands,0,0,3,0,0,1.0
15,HitChest,0,1,3,1,0,1.0
16,LeftPunch,0,1,0,1,0,1.0
17,LeftHandsObliqueParallel,0,1,0,1,0,1.0
18,AkimboRaise,0,1,3,0,0,1.0
19,armsupward,1,0,1,0,0,1.0
20,RightHandFan,0,1,4,1,0,1.0
21,ParallelHands,0,0,1,1,0,1.0
22,Rightlean,0,0,0,2,0,1.0
23,shockhandstochest,0,1,0,0,0,1.0
24,LeftHandWave,0,2,2,0,0,1.0
25,EnlargeBosmHoodwink,0,0,1,0,0,1.0
26,TakeTheLeft,0,0,1,3,0,1.0
27,LeftFuels,0,0,3,0,0,1.0
28,akimbo,0,1,0,0,0,1.0
29,twistWaist,0,0,3,3,0,1.0
30,LeftTurn,0,0,4,0,0,1.0
31,ShoulderRhythm,0,1,2,4,0,1.0
32,SidestepLeft,0,0,4,0,0,1.0
33,leftRightOut,1,1,2,2,0,1.0
34,ShockHands,0,0,3,1,0,1.0
35,HandUpAndDown,0,0,5,5,0,1.0
36,LeftRightWave,0,1,7,6,0,1.0
37,RaiseHandAndDropDown,1,2,3,5,0,1.0
38,ShakeHands,1,0,2,2,0,1.0
39,LeftProtest,1,0,3,2,0,1.0
40,HandAppearance,2,0,2,3,0,1.0
41,HeavyPendulum,0,0,2,1,0,1.0
42,SideMovement,0,1,2,1,0,1.0
43,RightHandUp,0,1,2,1,0,1.0
44,upwardpunches,0,1,1,2,0,1.0
45,RotatingRightHand,0,2,1,4,0,1.0
46,ScratchingHead,1,2,4,4,0,1.0
47,ElbowTurn,0,3,8,4,0,1.0
48,DrumRoll,0,1,4,3,0,1.0
49,RightSwing,1,2,4,1,0,1.0
50,HandFly,0,0,2,5,0,1.0
51,SpreadWings,0,2,1,6,0,1.0
52,LiftTheChest,1,0,4,2,0,1.0
53,MergeHand,0,1,1,3,0,1.0
